epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,351.128,1.01549,1.19951,0.89543,0.94685,0.78449,0.90896,0.5709,1.24194,1.54602,0.91997,0.00073025,0.00073025,0.00073025
44,359.992,1.05349,1.20126,0.90947,0.93766,0.81551,0.90981,0.60944,1.18678,1.4898,0.91067,0.000717875,0.000717875,0.000717875
45,368.493,1.15561,1.35924,0.99484,0.93766,0.81551,0.90981,0.60944,1.18678,1.4898,0.91067,0.0007055,0.0007055,0.0007055
46,378.063,0.92088,1.02521,0.909,0.95828,0.84669,0.91229,0.62344,1.1348,1.39937,0.90278,0.000693125,0.000693125,0.000693125
47,387.213,0.91137,0.9956,0.88689,0.98044,0.86951,0.92265,0.63358,1.16675,1.2535,0.89011,0.00068075,0.00068075,0.00068075
48,395.632,1.12167,1.08961,0.91338,0.97436,0.87629,0.9367,0.63495,1.15741,1.17377,0.88718,0.000668375,0.000668375,0.000668375
49,403.904,1.11277,1.0888,0.88953,0.97436,0.87629,0.9367,0.63495,1.15741,1.17377,0.88718,0.000656,0.000656,0.000656
50,411.899,1.02997,1.20267,0.90639,0.94724,0.88833,0.94474,0.6447,1.13145,1.17919,0.88925,0.000643625,0.000643625,0.000643625
51,420.376,1.20001,1.16746,0.9076,0.93359,0.89468,0.94921,0.62467,1.21098,1.24504,0.89751,0.00063125,0.00063125,0.00063125
52,428.842,0.98195,0.98721,0.9119,0.93466,0.9064,0.94157,0.61319,1.22512,1.28282,0.9034,0.000618875,0.000618875,0.000618875
53,437.558,0.93321,0.99874,0.90159,0.93466,0.9064,0.94157,0.61319,1.22512,1.28282,0.9034,0.0006065,0.0006065,0.0006065
54,445.524,1.03276,1.0104,0.93143,0.98877,0.88083,0.94421,0.62451,1.17591,1.21036,0.89608,0.000594125,0.000594125,0.000594125
55,454.205,1.02145,1.20764,0.97625,0.98581,0.87736,0.94246,0.64247,1.11022,1.13383,0.87911,0.00058175,0.00058175,0.00058175
56,462.793,0.95461,1.02178,0.90101,0.97792,0.88202,0.9499,0.67069,1.12545,1.09358,0.88076,0.000569375,0.000569375,0.000569375
57,471.081,0.97239,0.9942,0.8845,0.97792,0.88202,0.9499,0.67069,1.12545,1.09358,0.88076,0.000557,0.000557,0.000557
58,478.951,0.85867,1.00591,0.85278,0.98176,0.87837,0.94775,0.65792,1.08773,1.07696,0.88031,0.000544625,0.000544625,0.000544625
59,486.889,0.95664,0.97432,0.91436,0.97075,0.90331,0.96604,0.65144,1.0738,1.05086,0.88764,0.00053225,0.00053225,0.00053225
60,494.896,0.87093,0.8227,0.8763,0.98347,0.9463,0.97437,0.65537,1.06934,1.01094,0.8899,0.000519875,0.000519875,0.000519875
61,502.975,0.93267,0.9827,0.84578,0.98347,0.9463,0.97437,0.65537,1.06934,1.01094,0.8899,0.0005075,0.0005075,0.0005075
62,510.939,0.89485,0.87156,0.88665,0.98469,0.92521,0.97875,0.66827,1.06121,0.98041,0.88915,0.000495125,0.000495125,0.000495125
63,520.12,0.91264,0.84567,0.85882,0.94098,0.9537,0.97781,0.66947,1.06603,0.96178,0.8905,0.00048275,0.00048275,0.00048275
64,529.484,0.99766,0.98304,0.84989,0.95034,0.93405,0.97654,0.67279,1.06561,0.93222,0.88451,0.000470375,0.000470375,0.000470375
65,539.115,0.88426,0.88006,0.85985,0.95034,0.93405,0.97654,0.67279,1.06561,0.93222,0.88451,0.000458,0.000458,0.000458
66,547.667,0.78856,0.92002,0.85451,0.94549,0.93656,0.97778,0.67922,1.03839,0.9216,0.88062,0.000445625,0.000445625,0.000445625
67,556.778,0.96939,0.88364,0.88092,0.94806,0.93482,0.97931,0.68881,1.03227,0.9257,0.87724,0.00043325,0.00043325,0.00043325
68,565.315,0.92559,0.85912,0.87178,0.95538,0.93137,0.97625,0.67358,1.03787,0.9256,0.87843,0.000420875,0.000420875,0.000420875
69,573.224,0.93611,1.02495,0.91455,0.95538,0.93137,0.97625,0.67358,1.03787,0.9256,0.87843,0.0004085,0.0004085,0.0004085
70,581.472,0.77599,0.8341,0.87474,0.94674,0.93208,0.97514,0.68803,1.03744,0.93422,0.87823,0.000396125,0.000396125,0.000396125
71,589.834,0.83305,0.9815,0.89038,0.9369,0.93888,0.96715,0.67482,1.02088,0.95192,0.8803,0.00038375,0.00038375,0.00038375
72,597.986,0.87239,0.82068,0.90497,0.9371,0.93106,0.96903,0.66699,1.02507,0.96469,0.87985,0.000371375,0.000371375,0.000371375
73,606.928,0.83441,0.93232,0.89443,0.9371,0.93106,0.96903,0.66699,1.02507,0.96469,0.87985,0.000359,0.000359,0.000359
74,616.36,0.9941,0.86873,0.86358,0.93686,0.92931,0.97514,0.68091,1.02834,0.98912,0.87657,0.000346625,0.000346625,0.000346625
75,625.652,0.90538,0.84901,0.85562,0.9315,0.93858,0.97208,0.69206,1.0233,0.99463,0.87002,0.00033425,0.00033425,0.00033425
76,634.337,0.8834,0.8529,0.87352,0.92876,0.93921,0.97632,0.69065,1.03483,0.98748,0.86837,0.000321875,0.000321875,0.000321875
77,643.214,0.8166,0.79839,0.86351,0.92876,0.93921,0.97632,0.69065,1.03483,0.98748,0.86837,0.0003095,0.0003095,0.0003095
78,652.513,0.91609,0.905,0.88668,0.92991,0.94075,0.97632,0.6944,1.05468,0.97793,0.86734,0.000297125,0.000297125,0.000297125
79,662.072,0.84824,0.79023,0.85975,0.95368,0.96418,0.98348,0.68689,1.07486,0.96168,0.86841,0.00028475,0.00028475,0.00028475
80,671.162,0.91348,0.81561,0.88742,0.95299,0.96054,0.98348,0.69313,1.08496,0.95499,0.87012,0.000272375,0.000272375,0.000272375
81,680.077,0.902,0.83239,0.86085,0.95299,0.96054,0.98348,0.69313,1.08496,0.95499,0.87012,0.00026,0.00026,0.00026
82,688.998,0.85679,0.80076,0.83498,0.95345,0.96421,0.98348,0.68237,1.08607,0.94678,0.86772,0.000247625,0.000247625,0.000247625
83,697.11,0.77447,0.76943,0.85864,0.94687,0.97472,0.9895,0.68647,1.0776,0.93294,0.86457,0.00023525,0.00023525,0.00023525
84,705.341,0.79759,0.81499,0.84225,0.94211,0.98766,0.9895,0.68225,1.07434,0.9158,0.86374,0.000222875,0.000222875,0.000222875
85,713.679,0.86114,0.86313,0.87056,0.94211,0.98766,0.9895,0.68225,1.07434,0.9158,0.86374,0.0002105,0.0002105,0.0002105
86,722.222,0.80475,0.98172,0.88777,0.94719,0.98205,0.99225,0.68019,1.08825,0.90746,0.86687,0.000198125,0.000198125,0.000198125
87,730.385,1.0161,1.12303,0.89486,0.97062,0.9474,0.99,0.67978,1.09098,0.89924,0.86849,0.00018575,0.00018575,0.00018575
88,738.885,0.8033,0.78156,0.84785,0.96751,0.94878,0.98654,0.68166,1.0796,0.90882,0.86919,0.000173375,0.000173375,0.000173375
89,747.368,0.90734,0.90506,0.8746,0.96751,0.94878,0.98654,0.68166,1.0796,0.90882,0.86919,0.000161,0.000161,0.000161
